Gamma,Max index
0.9004179369841891,0
0.9912505565836834,0
0.9656907732114397,0
0.9389508916442677,1
0.9480821811099313,1
0.8562454318930911,2
0.797809027716265,2
0.908382340958156,0
0.9646119017112917,0
0.8575115105152632,3
0.9010622721371944,3
0.9620492273411447,3
0.7858098331674678,4
0.9186953958520984,0
0.9860537246040249,0
0.7849811665343446,0
0.7460071279363308,5
0.7901388650676853,5
0.7289631881026275,1
0.9557396946143004,1
0.8963311684855412,1
0.55002792752251,2
0.5897984076345378,0
0.7960500037459792,0
0.8853264724516613,0
0.7404452793411617,0
0.7788475597367998,7
0.7848216397337902,7
0.8263312372946636,0
0.9961890846477471,0
0.9331426619316296,0
0.768786945721273,3
0.7434219239797425,3
0.5966474159003211,2
0.640187182996278,2
0.6671676561807579,2
0.7115733434838527,2
0.7975113659484021,1
0.8715562826443096,1
0.8756755204710592,0
0.8357353645354718,0
0.7869497901563042,8
0.8343202405445963,8
0.6617113088151498,0
0.9928994120024864,0
0.9869063679945477,0
0.9227972296837028,1
0.8969106177703008,2
0.8186132290628789,2
0.6998938641970709,2
0.7262106413756247,0
0.8750848686042723,0
0.9533851559227217,0
0.8159952537268732,9
0.897655072249054,9
0.8569162531082324,9
0.8984034043356092,0
0.9980215825279964,0
0.9863475125090557,0
0.9545230534878926,1
0.9230305017779826,1
0.7480446476464122,2
0.6977441809240188,9
0.8692543181657302,0
0.9679933021885972,0
0.9139391525265204,0
0.9014885253522125,9
0.9168173390878452,9
0.6993458902647973,9
0.962391175326359,0
0.9881410614187748,0
0.6003691189682463,4
0.7001706630896218,4
0.7904920418043342,4
0.6951625967091566,9
0.9519537466162434,1
0.9589250055523718,1
0.7183422064914425,1
0.7939261058945711,9
0.8924834990462711,0
0.9495052891411155,0
0.9416263503507241,0
0.9131784438749445,9
0.917943913080059,9
0.9692939287165515,0
0.9969940862242412,0
0.984853299966583,0
0.9837826362380138,9
0.9846393553132399,9
0.9948121702013555,2
0.9941736036950997,2
0.9746080125881925,2
0.9194571308772188,9
0.8977247023370049,9
0.9872830349715087,0
0.9984172879243237,0
0.9824000867477718,1
0.989794371607651,1
0.9831819991463311,1
0.9660056532067467,9
0.9804339440857408,9
0.9637991162756967,0
0.9985897155129936,0
0.975333863518095,1
0.9815723658012511,1
0.9589167358260126,1
0.9617685656049804,9
0.9772893447775303,9
0.9253247632094748,2
0.9919968692444572,0
0.9964975130987995,0
0.9797320330392557,0
0.9795573019294811,2
0.9893274558303177,2
0.9035952037157496,9
0.9572371715344319,9
0.9934049512787276,0
0.999219177320044,0
0.971708888668229,1
0.9884955254605875,1
0.9776216211033105,9
0.9855686268662632,9
0.8571673732798477,9
0.9790934345457236,1
0.9926091798796827,0
0.9861009570124688,0
0.9500720024721165,0
0.9150578247401076,1
0.9418390876007038,1
0.8918772884704617,9
0.8981792152278736,9
0.8963509555310639,1
0.9929526756140102,0
0.9883822486997773,0
0.9482021557341843,0
0.95758699473495,2
0.9614122997235769,2
0.9346633609374875,9
0.9723386663702662,9
