Iteration,Function,Gradient,Alpha
1,121928515.17029181,449413.75749280513,0.1
2,27781353.90491319,218452.82326075793,0.0015051091604428848
3,2704408.462852124,41832.8187270203,0.0010901907868603844
4,1307977.6352574967,25222.157883342657,0.0010523297279355008
5,338767.3064587534,11825.698311504922,0.002176812178732983
6,32126.507489285992,4261.781901494964,0.0036267451778352676
7,64114.787290176464,10999.075635192687,0.004586029750725243
8,28797.136000057675,7237.192369357171,0.0016567599425185995
9,2374.0474154096773,648.8199776823577,0.0010055664744091873
10,1971.0580616679924,583.5607843398564,0.00100897007393092
11,230.67903548437266,76.27641888639177,0.009849938544167238
12,197.0871311238826,102.42525211052971,0.01
13,306.892249075522,405.25077538991377,0.01
14,237.43481472172053,375.9546530166334,0.0024429964370613956
15,180.49970676055327,181.28782847647287,0.001477238267498169
16,163.42375833838605,34.62699518837348,0.001015540020269674
17,162.20278619122695,33.48278710854366,0.0010397101963136029
18,152.04397156835458,32.78005248218184,0.01
19,145.73941824968637,55.929055393510154,0.01
20,170.85800272204432,192.00694128087213,0.01
21,146.2590955913835,152.3490884952175,0.002773142634543183
22,139.20380413741663,120.11978171213771,0.0018258962394582202
23,131.6206289760262,28.77822673190634,0.00109529092601571
24,130.82251860949737,26.242989014155384,0.001052831636844172
25,126.62843860771974,26.030301334214215,0.006216996965720467
26,120.73075321145436,39.33886464084884,0.01
27,147.5015245344057,254.407857682781,0.01
28,134.5291559376739,208.37762110107718,0.001831578963866152
29,112.52112319636777,24.792926632716895,0.0010283172522604531
30,111.91969240593565,23.812134896359858,0.00101390400874572
31,106.42311189584728,24.135479445122602,0.01
32,101.89408292804758,35.009873911380424,0.01
33,107.70135547853997,114.17818868022393,0.01
34,107.91401660853839,153.73344254460713,0.00339260047829044
35,98.7548890323495,100.79175140174317,0.0016881829947619582
36,93.4017449018503,24.042145176345244,0.001095597920984967
37,92.84978231791598,21.52423737681185,0.0010554052709620585
38,90.3681621750828,21.62772960299962,0.0055420467628180085
39,86.53169359590663,33.95674345383904,0.01
40,104.1515526579033,201.28453394238488,0.01
41,98.48720368863728,187.40466995222297,0.001977773754840751
42,80.7708661110421,23.1823941725791,0.0010641077161664787
