,paper,paper,paper,quadratic,quadratic,quadratic,rosembrock,rosembrock,rosembrock,wood,wood,wood
,Function,Gradient,Iterations,Function,Gradient,Iterations,Function,Gradient,Iterations,Function,Gradient,Iterations
Metodos,,,,,,,,,,,,
bisection,2.3771981256423813e-13,9.884283068547262e-07,7764.81,2.588244583192105e-13,9.342185701147697e-07,713.0,4.161331935603249,0.5660273490334462,10000.0,9.148886587708041e-11,3.805509785560753e-06,9428.69
barzilai,4.828549407292358e-13,9.873641076095855e-07,2770.34,4.952107593915958e-13,9.951952863634424e-07,1531.23,42.24566685922417,45.44667169382105,1603.21,3.158103078939697,8.752676944533493e-07,1806.43
ANGM,9.997313139468669e-14,6.762041737366229e-07,252.43,2.405619490126806e-15,1.4842856922152145e-08,5.24,2.799708149519264e-14,1.217327007742312e-07,68.84,5.070144132764543,3.2404510564177264e-07,360.36
ANRG1,1.0756540291070976e-13,7.593652886938944e-07,289.49,5.874517543540879e-15,4.649680552860973e-08,7.36,6.93870706047538e-14,1.72496715847782e-07,70.17,4.561704447356662,3.364014671688857e-07,292.43
ANRG2,7.319504218961211e-14,6.751083749618469e-07,255.83,6.799310620851824e-16,9.054357942673212e-09,9.7,3.597711179683645e-14,1.4632485796707334e-07,67.15,8.428734571161778,2.903557363582551e-07,199.21
