Iteration,Function,Gradient,Alpha
43,13313217.851892445,277427.23906084476,3.1756607671293835e-06
44,13249041.608292785,34264.9967726768,1.7250712453129657e-06
45,13247162.51377754,32517.656953263784,1.6832035015522675e-06
46,13229070.890675956,32513.077865722862,1.7117021933564467e-05
47,24654450.68210687,2154407.112115875,0.019656128921418544
48,6.827810400748161e+20,5.3426034326147224e+16,0.02385090537520736
49,3.737450160174826e+16,33111325698050.652,9.664818214772835e-13
50,3.632610501473001e+16,32412101698538.215,9.664811981659338e-13
51,7284129088185839.0,9706571414786.682,4.576712586585288e-11
52,2820436752874170.5,4759344446882.404,6.533227183036781e-11
53,859590196221088.0,1945113041899.7424,1.2818145731786553e-10
54,290321328646085.44,854322807478.2961,2.1675944237002176e-10
55,96463401384204.86,366483618292.8034,3.863939570925655e-10
56,33661994952858.16,160653000380.76706,6.757304451282126e-10
57,12174470706468.22,71744890178.42433,1.1979680140316113e-09
58,4450277813390.027,32672596770.74174,2.1447871329268105e-09
59,1551180340400.301,14634790470.855068,3.895801056276033e-09
60,512845153879.41425,6364226157.959899,7.015914535340344e-09
61,166864050483.40314,2740822190.458486,1.2398407958017322e-08
62,54214846650.927536,1178777969.9142313,2.177420525029793e-08
63,17659026123.786022,506762419.96597743,3.8205763889404115e-08
64,5810573957.677779,217801770.08893132,6.700997537083395e-08
65,1974511190.8592992,93591942.40389714,1.1747152470239033e-07
66,734285906.0779202,40252498.433069825,2.0571939072221703e-07
67,333293566.2159639,17389363.54578508,3.595283643675599e-07
68,203077542.26917222,7509525.377258229,6.259290670919737e-07
69,162427142.67574903,2815935.8891653274,1.077246478035281e-06
70,154561326.72442332,571680.1000946395,1.7066089732739022e-06
71,154216918.4127012,357323.4137992923,2.062306043476948e-06
72,154135270.20412928,455170.4575564869,2.112827217524971e-06
73,154025386.24970272,371031.9835913015,1.5035633018286261e-06
74,153929510.78551114,252509.1458423346,1.1704765453396882e-06
75,153849375.71286947,241392.15950358796,1.438592913200357e-06
76,153596749.40783766,433797.12133580254,5.702855639834788e-06
77,161264859.23210564,3932543.8883986063,1.183448142083813e-05
78,154242369.31188238,1894371.060525924,1.4159989110802397e-06
79,152816130.0277943,385160.6803905106,9.607817019752636e-07
80,152729591.98424143,231933.87154363564,8.381567903888237e-07
81,152655908.31278205,231602.38011743574,1.3737487339332632e-06
82,142242327.4336458,2023162.6988062724,0.00023621426851251363
83,383554194041068.1,1096698217263.7472,0.000678266542707205
84,218652740.41821298,8082152.606221675,1.2589018268069806e-09
85,218570501.90956268,8083360.294796295,1.2588925552881026e-09
86,200801712.7660901,18600076.990723725,-8.424828345526002e-06
87,1510514468.3273585,107593868.83271183,6.484302364093981e-06
88,130845968.96818732,5732788.356667362,9.559320287578374e-07
89,109933452.80671716,1054575.584570681,1.0096671921096605e-06
90,109449405.32596286,429980.81455290597,1.2335678762480687e-06
91,109350663.40795746,196050.94645268546,9.367615044488633e-07
92,109309459.86424136,191963.4912408595,1.094683103975381e-06
93,108407101.75519113,333463.955317791,2.641270019528442e-05
94,2269759935.943969,134509526.01647004,0.000181581762646391
95,349519746.1885404,9079263.563657539,6.292661169520436e-07
96,302664962.619971,7253194.258945506,6.553434544741148e-07
97,174344006.36677405,8133970.889809694,2.5975077859713823e-06
98,15726478778.90246,589779483.8016012,1.1595361483189456e-05
99,169312735.07714435,8127305.7378825,1.5805409276033037e-07
100,159173017.44355762,7857920.16978359,1.5594673688207386e-07
101,709372412.5519339,61369647.27732154,4.7025381837343805e-06
102,134744464.12044454,6704172.044598919,5.406954374097393e-07
103,115617458.7443358,4860260.207460231,4.880599764095859e-07
104,107523792.11139587,4137302.770595122,1.7735903604121948e-06
105,101416043.82429498,896263.1747209255,9.696847304979574e-07
106,101034457.82702485,234961.68222755814,8.053370927295076e-07
107,100988414.68871537,194698.76763119648,9.725863280254925e-07
108,100870031.21279119,185372.7339502663,3.4097980238758186e-06
109,100404444.84647426,691357.6155060432,2.0272630631392933e-05
110,218483573.7658252,8048833.542525485,3.0365834788197096e-05
111,99270768.4147283,611663.7217090925,2.4980878401587634e-06
112,99447416.88012293,952364.4967867739,2.336925404864818e-06
113,99014310.69587383,197629.2589927476,9.896439387350623e-07
114,98980800.2334637,180102.85288292324,9.44203167890874e-07
115,98813623.89847353,182131.95129430614,5.175198112030431e-06
116,187615619.12215483,8073506.584744895,0.0006277631800681053
117,26590555049461.758,148309135338.6662,8.70576723331015e-05
118,2027493411.3405595,99534348.59342442,4.760386893678407e-09
119,1980809156.9690206,97532947.41526085,4.760184247560095e-09
120,607856570.2010177,31024179.562528137,2.3672325830187855e-07
121,358996000.2972357,17115461.512001377,3.4513012045884895e-07
122,197137407.02168685,10073831.570432652,7.456894985326381e-07
123,84545298.21548034,2863523.357742352,1.5773352652902823e-06
124,81965254.24706085,3390882.234213295,2.2028896855398788e-06
125,78368145.11751792,1487773.902136843,1.2188332207033091e-06
126,77278295.47352341,283757.8190441424,8.629849209568802e-07
127,77215231.37704912,202727.36055819443,9.873227691881783e-07
128,77133576.10805252,158818.70842017344,2.3854229563605687e-06
129,76974186.54000047,221308.62089227582,7.139883082632109e-06
130,86933399.50534305,4258050.479739812,3.1018461575805945e-05
131,90035119.03906018,6255426.037587589,2.1990474547095566e-06
132,76597590.385206,980370.3111710311,8.941328261624036e-07
133,76149041.99894235,232559.8088113182,7.751191599465837e-07
134,76111609.0295905,157913.25000568505,9.639529573016815e-07
135,76069899.04190418,154482.04709315245,1.7056016222615983e-06
136,75214853.48093392,562120.6904839111,4.413834352914659e-05
137,288777315.0138982,14972152.794260567,0.00011700615036714002
138,5776919337123.4795,43362827645.58956,-3.679318170645883e-05
139,72881892715.6748,1699756774.898703,1.3670724859184765e-08
140,40982657355.83013,1080039837.6602364,1.3670237440414009e-08
141,12487070894.158773,416787071.5317,3.7329496925869674e-08
142,5009895953.166004,203699678.1445119,5.980403532897929e-08
143,1716778385.5885456,88710008.55710012,1.1522627828612007e-07
144,617653540.7959986,38888252.44488333,2.0158557974615534e-07
145,248227583.8375115,16687970.777688123,3.5592760193207624e-07
146,129611649.8722312,7425841.4139808435,6.150872699821401e-07
147,88192949.93791261,3277109.431007778,1.0793513889697507e-06
148,75161694.15707716,1048934.9911566025,1.9018219427056307e-06
149,73658997.02251703,558488.8198508814,2.726080849837221e-06
150,73981996.7995951,1131075.203398632,2.7487864279952004e-06
151,73436669.51171304,212070.66208784233,9.796291118972105e-07
152,73406794.68935075,149802.0073430949,8.795683087843457e-07
153,73366600.49383667,149595.5559760473,1.793498068789429e-06
154,62177006.87435451,2241129.752197052,0.0006803557149935971
